Group Starts,Avg - Delay (Peace Arch)
2019-06-15 00:00:00,3.5
2019-06-15 01:00:00,0.1
2019-06-15 02:00:00,0.0
2019-06-15 03:00:00,0.0
2019-06-15 04:00:00,0.0
2019-06-15 05:00:00,1.3
2019-06-15 06:00:00,13.5
2019-06-15 07:00:00,35.7
2019-06-15 08:00:00,32.8
2019-06-15 09:00:00,25.9
2019-06-15 10:00:00,32.7
2019-06-15 11:00:00,32.9
2019-06-15 12:00:00,30.3
2019-06-15 13:00:00,25.4
2019-06-15 14:00:00,9.4
2019-06-15 15:00:00,6.8
2019-06-15 16:00:00,25.5
2019-06-15 17:00:00,30.8
2019-06-15 18:00:00,35.9
2019-06-15 19:00:00,21.6
2019-06-15 20:00:00,1.0
2019-06-15 21:00:00,5.1
2019-06-15 22:00:00,9.4
2019-06-15 23:00:00,19.4
